"year","aemclass_2023","sex","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","10-14","15-19","20-24","25-29","NA","0-4","5-9","70-74","75-79","80-99"
"2020","(no data on location)","F",NA,3,2,NA,2,2,2,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"2020","(no data on location)","M",20,24,12,14,11,10,7,1,NA,1,1,2,2,NA,NA,2,NA,NA
"2020","a","F",110,61,45,29,22,22,10,5,2,13,58,110,1,3,4,3,1,NA
"2020","a","M",3625,2178,993,417,264,128,50,19,6,102,1508,3507,32,11,7,8,2,1
"2020","angeles","F",14,6,9,3,1,1,NA,NA,NA,1,4,11,NA,NA,NA,NA,NA,NA
"2020","angeles","M",96,66,20,11,8,4,3,1,NA,1,54,85,NA,NA,1,2,NA,NA
"2020","b","F",87,43,37,21,23,10,10,4,2,9,52,83,2,8,6,NA,NA,NA
"2020","b","M",2512,1329,606,252,122,53,22,9,2,67,1065,2390,17,4,7,5,1,NA
"2020","c","F",31,31,31,18,11,5,3,NA,2,7,14,32,NA,3,4,NA,NA,NA
"2020","c","M",1135,565,252,102,52,25,4,5,1,14,470,1222,2,3,5,2,2,NA
"2020","cebu city","F",24,13,9,10,3,2,NA,NA,NA,NA,10,34,5,NA,1,NA,NA,NA
"2020","cebu city","M",477,252,144,92,48,22,11,NA,NA,3,143,393,8,1,1,1,NA,NA
"2020","cebu province","F",14,7,5,2,3,1,1,NA,NA,NA,6,14,NA,NA,NA,NA,NA,NA
"2020","cebu province","M",269,151,75,29,18,5,5,5,NA,9,131,285,2,1,1,NA,NA,NA
"2020","ncr","F",104,74,45,39,19,21,8,3,3,8,45,98,4,5,6,2,NA,NA
"2020","ncr","M",5015,3741,1735,717,494,194,93,26,6,91,1685,3951,98,7,9,12,1,NA
"2020","Total","-",13533,8544,4020,1756,1101,505,229,79,24,326,5246,12218,173,46,52,38,7,1
"2021","(no data on location)","F",NA,3,NA,1,3,2,1,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"2021","(no data on location)","M",17,30,18,13,9,12,6,3,NA,1,1,2,NA,NA,NA,1,1,NA
"2021","a","F",131,75,43,43,28,22,14,7,3,8,60,131,NA,9,6,1,2,1
"2021","a","M",4286,2748,1347,507,326,182,53,31,7,135,1761,3854,10,6,11,11,2,1
"2021","angeles","F",13,13,10,2,1,1,NA,NA,NA,1,5,12,NA,NA,NA,NA,NA,NA
"2021","angeles","M",130,82,35,18,8,5,4,2,NA,6,59,105,NA,NA,1,2,NA,NA
"2021","b","F",111,66,35,32,25,16,10,5,4,13,50,93,NA,8,6,NA,NA,NA
"2021","b","M",3062,1805,825,328,162,71,31,12,4,74,1219,2788,4,5,7,9,NA,NA
"2021","c","F",26,37,32,25,12,6,2,1,1,1,21,43,NA,3,5,1,1,NA
"2021","c","M",1443,776,350,138,69,36,9,6,3,20,509,1441,1,1,7,3,4,1
"2021","cebu city","F",24,21,11,13,6,4,NA,NA,NA,3,7,31,NA,1,2,NA,NA,NA
"2021","cebu city","M",576,291,149,88,45,22,7,NA,NA,2,145,390,2,1,NA,1,NA,NA
"2021","cebu province","F",16,13,4,4,2,1,NA,1,NA,1,4,25,NA,NA,NA,NA,NA,NA
"2021","cebu province","M",353,197,94,38,19,9,6,3,1,15,177,347,NA,1,1,1,1,NA
"2021","ncr","F",115,100,55,40,31,18,10,3,4,16,57,106,NA,4,7,4,NA,NA
"2021","ncr","M",5493,4343,2189,840,568,256,121,41,5,129,1743,4353,20,7,13,13,4,1
"2021","Total","-",15796,10600,5197,2130,1314,663,274,117,32,425,5818,13722,37,46,66,47,16,4
"2022","(no data on location)","F",NA,1,2,NA,4,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"2022","(no data on location)","M",11,28,25,15,6,15,9,3,NA,1,NA,3,NA,NA,NA,1,1,NA
"2022","a","F",159,85,67,49,34,28,12,8,8,11,68,150,NA,10,10,3,3,NA
"2022","a","M",5088,3428,1723,632,392,203,68,37,7,191,2106,4497,2,7,12,6,6,1
"2022","angeles","F",15,11,13,2,1,1,NA,NA,NA,1,2,15,NA,NA,NA,NA,NA,NA
"2022","angeles","M",146,103,48,20,9,7,4,1,NA,13,81,133,NA,2,1,1,3,NA
"2022","b","F",135,91,46,35,23,22,7,7,5,19,73,106,NA,9,11,1,NA,NA
"2022","b","M",3804,2437,1109,424,216,98,31,17,7,127,1523,3476,1,2,8,10,1,NA
"2022","c","F",53,50,29,35,13,8,3,1,2,1,24,52,NA,3,5,1,1,NA
"2022","c","M",1903,1054,456,168,90,48,17,6,3,44,634,1801,NA,4,6,6,3,2
"2022","cebu city","F",36,20,22,10,6,3,1,1,1,1,9,43,NA,NA,NA,NA,NA,NA
"2022","cebu city","M",678,409,235,110,57,40,13,1,1,3,155,472,NA,NA,1,1,NA,NA
"2022","cebu province","F",26,18,5,5,5,1,1,1,NA,NA,6,24,NA,NA,1,NA,NA,NA
"2022","cebu province","M",479,285,127,45,28,15,5,4,NA,21,183,445,NA,2,2,3,NA,1
"2022","ncr","F",134,93,67,47,40,20,12,4,3,15,61,120,NA,3,9,4,NA,NA
"2022","ncr","M",5964,5037,2687,1044,600,316,126,53,8,190,1943,5010,NA,6,13,14,5,1
"2022","Total","-",18631,13150,6661,2641,1524,827,310,145,45,638,6868,16348,3,48,79,51,24,5
"2023","(no data on location)","F",1,1,2,NA,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"2023","(no data on location)","M",7,32,25,14,9,14,8,4,NA,NA,1,4,NA,NA,NA,1,1,NA
"2023","(overseas)","M",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023","a","F",191,116,85,66,35,31,17,9,7,16,79,178,NA,9,13,3,4,NA
"2023","a","M",5974,4281,2176,844,463,245,106,50,10,275,2469,5312,NA,8,18,13,6,1
"2023","angeles","F",22,8,11,3,2,2,NA,NA,NA,1,2,14,NA,NA,NA,NA,NA,NA
"2023","angeles","M",175,125,63,24,10,9,5,2,1,13,83,149,NA,1,NA,1,3,NA
"2023","b","F",167,109,65,48,32,27,11,10,5,22,89,128,NA,10,22,NA,NA,NA
"2023","b","M",4528,3121,1455,559,271,142,44,20,6,180,1796,4160,2,7,12,14,1,NA
"2023","c","F",64,71,34,43,19,7,7,1,4,9,39,64,NA,3,7,1,1,NA
"2023","c","M",2384,1377,627,246,125,54,25,6,6,63,818,2229,NA,2,9,8,2,3
"2023","cebu city","F",39,34,31,10,9,4,1,1,2,1,10,38,NA,NA,NA,NA,NA,NA
"2023","cebu city","M",730,510,267,132,76,43,13,3,1,10,158,447,NA,2,3,1,NA,NA
"2023","cebu province","F",43,15,9,6,2,3,1,1,1,1,4,21,NA,NA,1,NA,NA,NA
"2023","cebu province","M",578,334,160,57,33,24,3,4,NA,26,206,508,NA,NA,3,2,1,1
"2023","ncr","F",149,109,88,60,42,20,17,4,5,15,65,157,NA,3,12,3,1,NA
"2023","ncr","M",6769,5905,3347,1323,716,400,159,68,11,212,2110,5475,NA,10,14,19,8,1
"2023","Total","-",21821,16149,8445,3435,1848,1026,420,185,59,844,7929,18884,2,55,114,66,29,6
