"year","aemclass_2023","sex","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","10-14","15-19","20-24","25-29","0-4","5-9","70-74","75-79","80-99","NA"
"2022","cebu province","M",479,285,127,45,28,15,5,4,NA,21,183,445,2,2,3,NA,1,NA
"2022","ncr","F",134,93,67,47,40,20,12,4,3,15,61,120,3,9,4,NA,NA,NA
"2022","ncr","M",5964,5037,2687,1044,600,316,126,53,8,190,1943,5010,6,13,14,5,1,NA
"2022","Total","-",18631,13150,6661,2641,1524,827,310,145,45,638,6868,16348,48,79,51,24,5,3
"2023","(no data on location)","F",1,NA,2,NA,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"2023","(no data on location)","M",7,32,25,14,9,14,7,2,NA,NA,1,4,NA,NA,1,1,NA,NA
"2023","(overseas)","M",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023","a","F",178,107,74,56,30,28,15,8,5,14,70,156,7,9,3,4,NA,NA
"2023","a","M",5559,3990,2015,780,428,232,98,43,10,244,2227,4907,6,18,13,5,1,NA
"2023","angeles","F",20,8,11,2,1,2,NA,NA,NA,1,2,11,NA,NA,NA,NA,NA,NA
"2023","angeles","M",167,117,59,22,8,9,5,2,1,12,79,137,1,NA,1,3,NA,NA
"2023","b","F",147,104,58,45,30,25,11,9,5,19,79,115,8,19,NA,NA,NA,NA
"2023","b","M",4207,2904,1348,522,258,131,41,18,5,162,1642,3823,5,10,13,1,NA,1
"2023","c","F",60,63,34,39,18,6,6,1,4,6,36,59,2,4,1,1,NA,NA
"2023","c","M",2209,1274,585,228,117,52,21,6,6,57,745,2062,1,8,7,2,3,NA
"2023","cebu city","F",36,32,30,10,8,4,1,1,2,1,9,34,NA,NA,NA,NA,NA,NA
"2023","cebu city","M",683,477,250,118,72,42,13,3,1,9,143,413,2,3,1,NA,NA,NA
"2023","cebu province","F",41,14,9,5,2,3,1,1,1,NA,4,21,NA,NA,NA,NA,NA,NA
"2023","cebu province","M",533,317,148,54,32,24,3,4,NA,24,186,466,NA,3,2,1,1,NA
"2023","ncr","F",135,105,82,55,41,19,12,4,5,11,55,143,3,8,2,1,NA,NA
"2023","ncr","M",6311,5475,3120,1208,661,372,150,62,11,194,1944,5128,9,11,18,7,1,NA
"2023","Total","-",20294,15020,7850,3158,1719,964,387,166,56,754,7222,17479,44,93,62,27,6,1
